company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added
F-Secure,Helsinki,70,2023-10-25,NULL,Security,https://yle.fi/a/74-20056883,Post-IPO,NULL,Finland,2023-10-26
"Included Health","SF Bay Area",NULL,2022-07-25,0.060,Healthcare,https://www.fiercehealthcare.com/digital-health/digital-health-company-included-health-cuts-workforce-part-restructuring-move,"Series E",272.00,"United States",2022-07-26
&Open,Dublin,9,2022-11-17,0.090,Marketing,https://www.irishtimes.com/technology/2022/11/17/gifting-platform-open-to-cut-nine-roles-from-global-workforce/,"Series A",35.00,Ireland,2022-12-01
#Paid,Toronto,19,2023-01-27,0.170,Marketing,https://betakit.com/as-big-tech-makes-mass-layoffs-recent-canadian-startup-reductions-might-cut-deeper/,"Series B",21.00,Canada,2023-01-28
"100 Thieves","Los Angeles",12,2022-07-13,NULL,Consumer,https://www.dexerto.com/esports/100-thieves-layoffs-social-content-teams-1870915/,"Series C",120.00,"United States",2022-07-18
"10X Genomics","SF Bay Area",100,2022-08-04,0.080,Healthcare,https://www.genomeweb.com/business-news/10x-genomics-lays-approximately-100-employees#.YuxWk-zMKqV,Post-IPO,242.00,"United States",2022-08-04
"1K Kirana",Gurugram,600,2023-04-04,0.400,Retail,https://www.moneycontrol.com/news/business/startup/info-edge-ventures-backed-1k-kirana-lays-off-40-workforce-to-restructure-business-10359421.html,"Series B",NULL,India,2023-04-04
1stdibs,"New York City",70,2020-04-02,0.170,Retail,https://twitter.com/eringriffith/status/1246147841350762497,"Series D",253.00,"United States",2020-04-08
23andMe,"SF Bay Area",200,2024-11-11,0.400,Healthcare,https://www.wsj.com/tech/biotech/23andme-to-cut-workforce-by-40-discontinues-therapeutics-pipeline-8c818729,Post-IPO,1100.00,"United States",2024-11-12
23andMe,"SF Bay Area",71,2023-08-08,0.110,Healthcare,https://www.streetinsider.com/Corporate+News/23andMe+Holding+%28ME%29+Announces+11%25+Workforce+Cut/22014370.html,Post-IPO,1100.00,"United States",2023-08-08
23andMe,"SF Bay Area",75,2023-06-09,0.090,Healthcare,https://www.genomeweb.com/business-news/23andme-laying-9-percent-workforce-cut-operating-costs,Post-IPO,1100.00,"United States",2023-06-09
2TM,"Sao Paulo",100,2022-09-01,0.150,Crypto,https://finance.yahoo.com/news/second-round-layoffs-brazilian-crypto-212310521.html,Unknown,250.00,Brazil,2022-09-02
2TM,"Sao Paulo",90,2022-06-01,0.120,Crypto,"https://www.terra.com.br/noticias/tecnologia/2tm-dono-do-mercado-bitcoin-demite-90-funcionarios,9ce67613ba7b79292f03bc2027ceb77e9uw5hy0w.html",Unknown,250.00,Brazil,2022-06-02
2U,"Washington D.C.",NULL,2022-07-28,0.200,Education,https://www.insidehighered.com/news/2022/08/01/online-program-enabler-2u-resets-its-pricing-model,Post-IPO,426.00,"United States",2022-07-30
54gene,"Washington D.C.",95,2022-08-29,0.300,Healthcare,https://techcrunch.com/2022/08/29/african-genomics-startup-54gene-lays-off-95-as-covid-testing-business-struggles/,"Series B",44.00,"United States",2022-08-30
"5B Solar",Sydney,NULL,2022-06-03,0.250,Energy,https://www.news.com.au/finance/business/manufacturing/aussie-startup-5b-solar-sacks-25-per-cent-of-staff/news-story/55133297ccce5f1b7d1edf38f117a631,"Series A",12.00,Australia,2022-06-03
6sense,"SF Bay Area",150,2022-10-12,0.100,Sales,https://www.moneycontrol.com/news/business/startup/ai-platform-6sense-lays-off-150-employees-globally-including-several-from-india-9327791.html,"Series E",426.00,"United States",2022-10-14
7shifts,Saskatoon,30,2023-09-15,0.070,Food,https://www.linkedin.com/feed/update/urn:li:activity:7108084382132801536/,"Series C",131.00,Canada,2023-09-21
7Shifts,Saskatoon,68,2024-01-11,0.190,Food,https://betakit.com/7shifts-cuts-19-percent-of-staff-in-new-layoffs-to-start-2024/,"Series C",131.00,Canada,2024-01-18
"80 Acres Farms",Cincinnati,NULL,2023-01-18,0.100,Food,https://www.bizjournals.com/cincinnati/inno/stories/news/2023/01/18/80-acres-cuts-jobs-tech-industry-job-loses.html,Unknown,275.00,"United States",2023-01-19
8x8,"SF Bay Area",155,2023-01-18,0.070,Support,https://www.channelfutures.com/business-models/8x8-to-reduce-7-of-workforce-significantly-impacting-channel-staff,Post-IPO,253.00,"United States",2023-01-18
8x8,"SF Bay Area",200,2022-10-04,0.090,Support,https://www.channelfutures.com/business-models/8x8-lays-off-workers-cites-operational-efficiency,Post-IPO,253.00,"United States",2023-01-18
98point6,Seattle,NULL,2022-07-21,0.100,Healthcare,https://www.geekwire.com/2022/health-care-startup-98point6-lays-off-10-of-workforce-but-says-its-still-in-growth-mode/,"Series E",247.00,"United States",2022-07-22
99,"Sao Paulo",75,2022-09-20,0.020,Transportation,"https://www.terra.com.br/economia/dinheiro-em-dia/meu-negocio/na-onda-dos-layoffs-99-demite-mais-de-75-colaboradores,d2c6d7e70027cb925695c2e6a25956d16jo4jtuj.html",Acquired,244.00,Brazil,2022-09-21
Aakash,"New Delhi",80,2024-09-18,NULL,Education,https://entrackr.com/2024/09/exclusive-aakash-lays-off-employees-amid-strategic-shift/,Acquired,NULL,India,2024-09-21
ABBYY,Nicosia,200,2024-10-01,NULL,Data,https://www.bignewsnetwork.com/news/274659725/us-tech-giant-fires-russian-expats,Unknown,6.00,Cyprus,2024-10-03
Abra,"SF Bay Area",12,2022-06-30,0.050,Crypto,https://www.theblock.co/post/155209/abra-becomes-latest-crypto-firm-to-cut-jobs,"Series C",106.00,"United States",2022-07-01
Absci,Portland,30,2023-09-05,0.150,Healthcare,https://www.geekwire.com/2023/biotech-company-absci-lays-off-30-employees-about-15-of-staff/,Post-IPO,238.00,"United States",2023-09-07
Absci,Vancouver,40,2022-08-09,NULL,Healthcare,https://www.absci.com/message-from-ceo-08-09-2022/,Post-IPO,237.00,Canada,2022-08-10
"Absolute Software",Vancouver,40,2023-04-06,0.050,Security,https://www.absolute.com/company/press-releases/2023/absolute-software-announces-workforce-restructuring/,Post-IPO,NULL,Canada,2023-04-06
Acast,Stockholm,70,2022-09-15,0.150,Media,https://www.bloomberg.com/news/newsletters/2022-09-15/swedish-podcast-company-acast-lays-off-15-of-its-staff,Post-IPO,126.00,Sweden,2022-09-15
Acko,Mumbai,45,2020-04-01,0.090,Finance,https://entrackr.com/2020/04/exclusive-acko-insurance-layoff/,Unknown,143.00,India,2020-04-08
Acorns,Portland,50,2020-05-26,NULL,Finance,https://techcrunch.com/2020/05/29/amid-unprecedented-growth-on-its-platform-acorns-cuts-roles-and-shuts-down-an-office/,Unknown,207.00,"United States",2020-05-30
Actifio,Boston,54,2020-12-16,NULL,Data,https://www.bizjournals.com/boston/news/2020/12/16/actifio-layoffs-google.html,Acquired,352.00,"United States",2020-12-17
ActiveCampaign,Chicago,NULL,2022-10-03,0.150,Marketing,LinkedIn,"Series C",360.00,"United States",2022-10-07
ActiveFence,"New York City",22,2025-03-13,0.070,Security,https://www.calcalistech.com/ctechnews/article/hjvqbqg3jx,"Series B",100.00,"United States",2025-03-14
Actyv.ai,Bengaluru,NULL,2023-08-02,0.600,Finance,https://entrackr.com/2023/08/exclusive-saas-startup-actyv-ai-lays-off-more-than-60-employees/,Seed,12.00,India,2023-08-03
Acxiom,"Little Rock",130,2025-03-19,0.030,Marketing,https://adage.com/article/agency-news/acxiom-lays-35-staff-more-130-employees/2606146,Post-IPO,NULL,"United States",2025-03-21
Ada,Toronto,78,2022-09-20,0.160,Support,https://www.linkedin.com/posts/mikemurchison_company-message-from-mike-ugcPost-6978042513135710209-CcNB/,"Series C",190.00,Canada,2022-09-21
"Ada Health",Berlin,50,2022-10-17,NULL,Healthcare,"Internal memo","Series B",189.00,Germany,2022-10-26
"Ada Support",Toronto,36,2020-04-24,0.230,Support,https://betakit.com/ada-support-lays-off-23-percent-of-staff-amid-uncertainty-caused-by-pandemic/,"Series B",60.00,Canada,2020-04-24
